"","GSM616583","GSM616584","GSM616585","GSM616586","GSM616587","GSM616588","GSM616589","GSM616590","GSM616591","GSM616592","GSM616593","GSM616594","GSM616595","GSM616596","GSM616597","GSM616598","GSM616599","GSM616600","GSM616601","GSM616602","GSM616603","GSM616604","GSM616605","GSM616606","GSM616607","GSM616608","GSM616609","GSM616610","GSM616611","GSM616612","GSM616613","GSM616614","GSM616615","GSM616616","GSM616617","GSM616618","GSM616619","GSM616620","GSM616621","GSM616622","GSM616623","GSM616624","GSM616625","GSM616626","GSM616627","GSM616628","GSM616629","GSM616630","GSM616631","GSM616632","GSM616633","GSM616634","GSM616635","GSM616636","GSM616637","GSM616638","GSM616639","GSM616640","GSM616641","GSM616642","GSM616643","GSM616644","GSM616645","GSM616646","GSM616647","GSM616648","GSM616649","GSM616650","GSM616651","GSM616652","GSM616653","GSM616654","GSM616655","GSM616656","GSM616657","GSM616658","GSM616659","GSM616660","GSM616661"
"GSM616583",1,0.947206232541823,0.919498394864407,0.911782529665045,0.953928705447906,0.897613556008817,0.913897319440281,0.932674636301392,0.960141434004971,0.954280149557142,0.936631072257274,0.945603504374871,0.929846728328104,0.953934403624766,0.955488845921093,0.960015727524135,0.952826827490335,0.912705720446863,0.930399259913716,0.926670862860649,0.898283607905769,0.95308128400301,0.927580296391804,0.918561875286497,0.9530573595596,0.936046981000516,0.91101462453057,0.942870625850359,0.884534086971119,0.908193088193015,0.877945161389548,0.897306081072603,0.937817263085351,0.900308570117274,0.939241690102053,0.916128125582738,0.932882365095757,0.911873400549991,0.910326468048741,0.891234649165225,0.915353412419933,0.893603550585003,0.92504339651038,0.893895610986471,0.936871418317349,0.894786939400023,0.890676966150761,0.918547891477178,0.937293585222799,0.895373578551098,0.916492612252659,0.882169634089636,0.904772408144458,0.888745007352789,0.924115023111511,0.906866777155063,0.904480922088333,0.879738719179342,0.911984214956168,0.895066760866695,0.906979478541121,0.904827850942144,0.907090543426455,0.897849918280056,0.885920011149492,0.908807808442913,0.907925928944474,0.908480600521555,0.879505163289876,0.875670727752383,0.899099497965175,0.887313323883468,0.889242414308125,0.900318955262594,0.924230216414309,0.894170860609012,0.898983923575936,0.957526485873625,0.933644851070598
"GSM616584",0.947206232541823,1,0.954958483457864,0.958175064141951,0.954439316880556,0.94950780525415,0.956668763713407,0.969889343293864,0.946550718968967,0.938423714590621,0.961504281244607,0.970052391829981,0.965412154940349,0.95804331135361,0.95754676134658,0.965369803587728,0.948230864321726,0.954952302582784,0.964147047703772,0.97267632111612,0.955780420024909,0.970693879863244,0.900532179422502,0.891312398181047,0.928602548345332,0.933461172030402,0.906544132536845,0.916288169857561,0.892207327814159,0.91765090384201,0.873108129642788,0.907990454522694,0.928928900811281,0.919615825689091,0.94116792500346,0.898046135475245,0.906114268532731,0.913563766867496,0.909961600116566,0.881453917721705,0.916733316176136,0.903412943733057,0.915731433570742,0.895739788403526,0.928992978285494,0.900980904508387,0.898922376534753,0.911752477244049,0.920474239435319,0.899776434325805,0.910744459009583,0.890518744438483,0.912404717793635,0.911091575615018,0.922100931258433,0.931289693669124,0.908802964989219,0.914373083292641,0.917621528311991,0.903365886257832,0.89584007178722,0.87663192971343,0.915825358386753,0.872577647801159,0.868996347523652,0.89754552614759,0.898187641512725,0.897006595033142,0.881529358158617,0.883696585041278,0.880862205595174,0.876526190020022,0.88983782061644,0.905150839568452,0.90844525923301,0.872771187901868,0.859700446663001,0.94756930774811,0.913405501262561
"GSM616585",0.919498394864407,0.954958483457864,1,0.96777608275412,0.912738005710461,0.971724900586054,0.95384286443561,0.957825647009061,0.902416621441798,0.885576389857369,0.95586836562345,0.960757904176947,0.96104089561609,0.918400919739824,0.926405749732189,0.927353986528061,0.908016407872666,0.949634526209031,0.958315434615187,0.963112097876543,0.961366283592936,0.939615028343136,0.866771488687669,0.852130715224185,0.901717885281405,0.908832713901484,0.890488054850377,0.875048577281172,0.871577916755689,0.893737505290838,0.842479821871451,0.878109175290922,0.891925019270781,0.940872347749352,0.901074132588412,0.861586329083288,0.861541391574347,0.908185142711466,0.884986000280318,0.856616775564859,0.909336420367171,0.887782206128361,0.888778956295487,0.889567760123429,0.913987089778762,0.873738960856927,0.879319551911968,0.884013782288191,0.894125743507267,0.88573495897782,0.889620382156871,0.881749132291042,0.908214467528108,0.894528714849096,0.904812760446337,0.905195682969473,0.890033949839355,0.924450159767472,0.907360180218626,0.855976731224503,0.873533701009756,0.827002293626751,0.903864140062199,0.808757459722224,0.811358364160088,0.872102365733112,0.8598452623797,0.848789927496667,0.8555025133402,0.842066038451809,0.827274380623505,0.81363005292664,0.831189595049608,0.892824742629043,0.873192172490526,0.828527591658681,0.788049711367487,0.910950314347088,0.878924796372222
"GSM616586",0.911782529665045,0.958175064141951,0.96777608275412,1,0.912055794980854,0.970113131266956,0.958754226008899,0.95829287529655,0.900875001624566,0.888152770918087,0.956558067245613,0.957297368212481,0.960857003727388,0.920399032885596,0.928676349273996,0.923760827297903,0.90699048632071,0.956384175749383,0.961277901779485,0.962144525714384,0.966376652150137,0.942749411532617,0.877383535792725,0.862865338498986,0.901906022791374,0.912346629735068,0.897316592833535,0.883126124020939,0.886250851574934,0.90164611475986,0.860886278085936,0.886624279086037,0.889759147692677,0.945044186830447,0.903034204188761,0.867102020255495,0.873238439939727,0.918917321032316,0.894951386090572,0.869495762813596,0.911783263989789,0.90334682109056,0.891151086027665,0.898004994462397,0.917227128869303,0.890919551630803,0.893042361409071,0.877133592444219,0.898860128074868,0.902743979996505,0.894548495732395,0.894507179383466,0.911778417352764,0.905899448778304,0.914710647687267,0.918747569054117,0.900350355105764,0.930758457012536,0.910436862233626,0.860866500697749,0.889512968583515,0.842546765423906,0.913221708900707,0.828901170024642,0.825622713078914,0.883452410745693,0.876669220075483,0.860755892790236,0.860873432154271,0.853455249986769,0.838181369269472,0.81910955484381,0.839932362999338,0.898059260545318,0.877649416897032,0.841564803331363,0.810833425211355,0.919913693398981,0.882679086435837
"GSM616587",0.953928705447906,0.954439316880556,0.912738005710461,0.912055794980854,1,0.898182097657707,0.937019361519205,0.939360150815845,0.968922621698014,0.970691558461003,0.926528668779705,0.944588295341585,0.943044396058023,0.98217778704326,0.968934846402415,0.977802179646227,0.973048613510789,0.924172866935729,0.94085339403567,0.949933730895599,0.905812151308616,0.959116187712252,0.926806322254287,0.919483673054238,0.950818396564354,0.945070065686465,0.909887299281844,0.948789152903598,0.901642128026701,0.925238026655516,0.893282989107565,0.926423117119285,0.965109901706478,0.896546158245269,0.962692989763551,0.931917480438451,0.9420199959762,0.914381149676328,0.924107731021513,0.902833729952066,0.921556953762441,0.907016051069687,0.937596478651332,0.896652342112364,0.943684907378418,0.908488577942367,0.913491036742887,0.919844316296853,0.939683585370535,0.894916558891916,0.933654670597003,0.892574933485896,0.918909063072271,0.912368527909866,0.927990417231258,0.924286988299481,0.918192759279525,0.9052291199303,0.92647624472502,0.925457627121777,0.906697751361521,0.918395180541532,0.916738349752492,0.913055257160923,0.897112176855624,0.919007015709963,0.915453492845086,0.935301025311843,0.91183189885685,0.911089502476377,0.924527966077365,0.915478148470657,0.916168412007772,0.921058500847424,0.949050412090857,0.912589589282184,0.915773751119542,0.949976298743377,0.941017719108971
"GSM616588",0.897613556008817,0.94950780525415,0.971724900586054,0.970113131266956,0.898182097657707,1,0.948817774349013,0.959856949757202,0.888757840174527,0.867930886347372,0.962032272277548,0.957781128383949,0.956941423427017,0.902236879452328,0.916193265705268,0.912860749927058,0.89250969165576,0.947631381757596,0.959526583442424,0.958839461750959,0.964693519071675,0.938307406730295,0.855108705607358,0.840605638905551,0.89182215047463,0.897760690615549,0.886686010519215,0.861738235007511,0.864244033798419,0.882388096341691,0.834656241430385,0.864409735545253,0.877408399279901,0.941715424468783,0.886622468575899,0.851633511212828,0.847638508659258,0.904576587329359,0.875658096057991,0.845125770027326,0.904372699707818,0.885331426862551,0.878193101673753,0.886242802500593,0.898382123257561,0.860711685852502,0.869211901693599,0.855455703236051,0.885672505710354,0.878126661406942,0.870322993624979,0.878451434454495,0.896738955090655,0.886470311146418,0.898687512016719,0.896228601089977,0.882576056736179,0.920253656958113,0.899711611605171,0.837416737030925,0.868513718962792,0.808894781801951,0.898743823188095,0.790089173099519,0.786358323826249,0.861378226740356,0.846822889890991,0.830344356437457,0.840880695216468,0.820465800271616,0.807672547168013,0.787225431686893,0.805657858054693,0.882849538386639,0.857133921014955,0.812436331388927,0.769384744896164,0.898364625419451,0.866175736107913
"GSM616589",0.913897319440281,0.956668763713407,0.95384286443561,0.958754226008899,0.937019361519205,0.948817774349013,1,0.959272619804775,0.900811116765051,0.891980978624841,0.941790927490458,0.939988817936158,0.945862910908575,0.933051865584085,0.925375145931395,0.937977215885647,0.916519900411334,0.958418356166288,0.961187060207766,0.974219464288327,0.960050643096472,0.94419567726442,0.881847756703544,0.868689903724939,0.909528421853489,0.91601491057171,0.898946853295313,0.898682524644552,0.892760255356189,0.90879958068371,0.867472113338199,0.910689312296836,0.909307740745274,0.939586829071496,0.924973610088489,0.87596695008139,0.881127628194945,0.915836339388847,0.897219976698859,0.872563121330391,0.916395648013947,0.902588351398933,0.898349208035086,0.90297325131823,0.930311884351701,0.893040523432192,0.909195542640299,0.895460102729902,0.902783860504171,0.901155968840625,0.911612312393645,0.902011117402396,0.926118889411959,0.926227460025406,0.916391218814642,0.93252481088119,0.902314710314554,0.936939491722577,0.916784966531806,0.882009453462734,0.889110214425227,0.859528274181708,0.915479687368403,0.841753929700185,0.854586850424503,0.89265902270293,0.88403164778786,0.871255857128125,0.886290344296531,0.870826417879094,0.859834668889234,0.848639161428673,0.860341840531889,0.905965563402405,0.895060137177986,0.852251539036186,0.831651859546787,0.91446741977308,0.891764788440805
"GSM616590",0.932674636301392,0.969889343293864,0.957825647009061,0.95829287529655,0.939360150815845,0.959856949757202,0.959272619804775,1,0.924843358899745,0.914034296572358,0.972537846098879,0.961753815318538,0.956991538627101,0.939654847068314,0.947057801885763,0.952013301738809,0.928175727888001,0.964856165228201,0.972642528405354,0.972086321119612,0.968301957759893,0.968754337330537,0.897254714904283,0.885416648636801,0.928873122004012,0.927038778042933,0.912752019083214,0.908639169715983,0.882936112020649,0.90322062894078,0.862888246126071,0.89014326891772,0.91433651514762,0.940555208693046,0.924484835722229,0.890399748247188,0.894993478144686,0.921968611424623,0.904145145648998,0.873231441939546,0.923983025638628,0.902318005317482,0.907816290832548,0.904809675479779,0.9278590611357,0.880055144449626,0.888696502888483,0.882024657581202,0.921048530602967,0.892073657810033,0.895953616151916,0.895751109535863,0.913313372321642,0.902685716036424,0.928796237024487,0.908341674169115,0.901376279451419,0.916759019393699,0.920697504396371,0.86503001811996,0.898572522402246,0.860143774001373,0.917961157795649,0.838623193600865,0.833988250224038,0.891921110909859,0.880883386894815,0.862064602245932,0.863543877422688,0.842125029099913,0.850916035194225,0.83046392837884,0.840940418306194,0.897142987625414,0.894832966254937,0.85484474591369,0.827337008512924,0.926719946007254,0.905358383139459
"GSM616591",0.960141434004971,0.946550718968967,0.902416621441798,0.900875001624566,0.968922621698014,0.888757840174527,0.900811116765051,0.924843358899745,1,0.979120234927365,0.933957185693538,0.953092002908528,0.937249863506848,0.970523509033282,0.971057495628429,0.967919588743852,0.969934146262854,0.899390580891417,0.924061949381981,0.926310781041827,0.884303353820481,0.958581810376938,0.924453842879156,0.921915226667029,0.952759566228325,0.93601445010624,0.902399366615393,0.939818362415757,0.886095761759168,0.908838321714567,0.886214085512315,0.89535644377456,0.954501457430964,0.877041145354424,0.943804482705956,0.928291762558819,0.942666932970663,0.902913107676891,0.914176760748032,0.898714609467799,0.911709711815752,0.891990420752143,0.933855316375099,0.880397907943789,0.921709094421039,0.887886774226767,0.886459140723995,0.898179329667992,0.938091788698974,0.883018591169309,0.910416790029969,0.873471902586616,0.893236418491079,0.880947458303928,0.913981235082961,0.893541464351499,0.907025044632871,0.873190191649648,0.91323402461162,0.902287180683122,0.899168880911905,0.904737510066833,0.901173910246308,0.904300439255649,0.86887984763804,0.910023229804816,0.899759840358014,0.919113878088516,0.890553513109411,0.881925415897536,0.911707548582268,0.89185236158216,0.890652296400227,0.910447182551989,0.936998112980413,0.907766859404507,0.907807158805716,0.952412664360421,0.937877683554775
"GSM616592",0.954280149557142,0.938423714590621,0.885576389857369,0.888152770918087,0.970691558461003,0.867930886347372,0.891980978624841,0.914034296572358,0.979120234927365,1,0.913708621202878,0.935849010676609,0.927310766891835,0.978498427686736,0.973482661079601,0.973937496400282,0.979775047851583,0.89649291021345,0.915716840830469,0.920114267854356,0.874154285098494,0.953140039372741,0.92036661403103,0.917451522898311,0.940885258509778,0.930849515970611,0.888611625670908,0.931492676972699,0.873866107335259,0.902189050894953,0.877765195036635,0.893363762927176,0.945282928195062,0.858845705957079,0.940438323977369,0.917353129129626,0.941388012331378,0.889032647451277,0.910004777208875,0.887142587828404,0.895552772594639,0.882639837795978,0.921823693867933,0.867923447635365,0.917228781900588,0.883441327455104,0.881946032748588,0.895458665098851,0.931476891166069,0.873922930522017,0.905516957933646,0.861439730847613,0.882706873899223,0.87956156164756,0.909893687223477,0.889659767446472,0.895806782577367,0.858402780713659,0.902465578007894,0.902381123102687,0.884404477771737,0.909733868474362,0.897325956728873,0.905346515362742,0.8817397638908,0.901783020833799,0.89498097640086,0.918293970133503,0.880149765178947,0.881338234267532,0.911303710916805,0.897659867185712,0.900194118058886,0.894459344534342,0.931663328957878,0.903372346513805,0.908955734549752,0.948113077808481,0.930875767480568
