"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","disease state:ch1"
"GSM616593","Normal oral tissue_72N","GSM616593","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616593/suppl/GSM616593.CEL.gz","17881","normal"
"GSM616594","Normal oral tissue_77N","GSM616594","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616594/suppl/GSM616594.CEL.gz","17881","normal"
"GSM616595","Normal oral tissue_78N","GSM616595","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616595/suppl/GSM616595.CEL.gz","17881","normal"
"GSM616596","Normal oral tissue_79N","GSM616596","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616596/suppl/GSM616596.CEL.gz","17881","normal"
"GSM616597","Normal oral tissue_80N","GSM616597","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616597/suppl/GSM616597.CEL.gz","17881","normal"
"GSM616598","Normal oral tissue_81N","GSM616598","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616598/suppl/GSM616598.CEL.gz","17881","normal"
"GSM616599","Normal oral tissue_82N","GSM616599","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616599/suppl/GSM616599.CEL.gz","17881","normal"
"GSM616600","Normal oral tissue_83N","GSM616600","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616600/suppl/GSM616600.CEL.gz","17881","normal"
"GSM616601","Normal oral tissue_84N","GSM616601","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616601/suppl/GSM616601.CEL.gz","17881","normal"
"GSM616602","Normal oral tissue_85N","GSM616602","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616602/suppl/GSM616602.CEL.gz","17881","normal"
