"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","disease state:ch1"
"GSM616603","Normal oral tissue_88N","GSM616603","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616603/suppl/GSM616603.CEL.gz","17881","normal"
"GSM616604","Normal oral tissue_89N","GSM616604","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616604/suppl/GSM616604.CEL.gz","17881","normal"
"GSM616605","OSCC tumor_1058T","GSM616605","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616605/suppl/GSM616605.CEL.gz","17881","tumor"
"GSM616606","OSCC tumor_1427T","GSM616606","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616606/suppl/GSM616606.CEL.gz","17881","tumor"
"GSM616607","OSCC tumor_1458T","GSM616607","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616607/suppl/GSM616607.CEL.gz","17881","tumor"
"GSM616608","OSCC tumor_2133T","GSM616608","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616608/suppl/GSM616608.CEL.gz","17881","tumor"
"GSM616609","OSCC tumor_2193T","GSM616609","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616609/suppl/GSM616609.CEL.gz","17881","tumor"
"GSM616610","OSCC tumor_2231T","GSM616610","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616610/suppl/GSM616610.CEL.gz","17881","tumor"
"GSM616611","OSCC tumor_2237T","GSM616611","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616611/suppl/GSM616611.CEL.gz","17881","tumor"
"GSM616612","OSCC tumor_2266T","GSM616612","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616612/suppl/GSM616612.CEL.gz","17881","tumor"
"GSM616613","OSCC tumor_2309T","GSM616613","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616613/suppl/GSM616613.CEL.gz","17881","tumor"
"GSM616614","OSCC tumor_2328T","GSM616614","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616614/suppl/GSM616614.CEL.gz","17881","tumor"
"GSM616615","OSCC tumor_2332T","GSM616615","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616615/suppl/GSM616615.CEL.gz","17881","tumor"
"GSM616616","OSCC tumor_2341T","GSM616616","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616616/suppl/GSM616616.CEL.gz","17881","tumor"
"GSM616617","OSCC tumor_2343T","GSM616617","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616617/suppl/GSM616617.CEL.gz","17881","tumor"
"GSM616618","OSCC tumor_2378T","GSM616618","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616618/suppl/GSM616618.CEL.gz","17881","tumor"
"GSM616619","OSCC tumor_2403T","GSM616619","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616619/suppl/GSM616619.CEL.gz","17881","tumor"
"GSM616620","OSCC tumor_2442T","GSM616620","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616620/suppl/GSM616620.CEL.gz","17881","tumor"
"GSM616621","OSCC tumor_2449T","GSM616621","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616621/suppl/GSM616621.CEL.gz","17881","tumor"
"GSM616622","OSCC tumor_2451T","GSM616622","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616622/suppl/GSM616622.CEL.gz","17881","tumor"
"GSM616623","OSCC tumor_2461T","GSM616623","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616623/suppl/GSM616623.CEL.gz","17881","tumor"
"GSM616624","OSCC tumor_2470T","GSM616624","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616624/suppl/GSM616624.CEL.gz","17881","tumor"
"GSM616625","OSCC tumor_3076T","GSM616625","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616625/suppl/GSM616625.CEL.gz","17881","tumor"
"GSM616626","OSCC tumor_3084T","GSM616626","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616626/suppl/GSM616626.CEL.gz","17881","tumor"
"GSM616627","OSCC tumor_3086T","GSM616627","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616627/suppl/GSM616627.CEL.gz","17881","tumor"
"GSM616628","OSCC tumor_3100T","GSM616628","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616628/suppl/GSM616628.CEL.gz","17881","tumor"
"GSM616629","OSCC tumor_3115T","GSM616629","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","OSCC  specimens","Homo sapiens","disease state: tumor","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","patient with OSCC","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616629/suppl/GSM616629.CEL.gz","17881","tumor"
